,index,hangul_word,english_phrase,does_end_in_hada,hanja_word,hanja_exists,hanja_word_with_hada,num_hangul_words,Unnamed: 0,english_translation
3811,이,이,this,False,乁,True,乁,384,3122.0,乁
3812,이,이,this,False,二,True,二,384,442.0,two
3813,이,이,this,False,以,True,以,384,4634.0,with
3814,이,이,this,False,伊,True,伊,384,1634.0,Yes.g.
3815,이,이,this,False,伿,True,伿,384,2218.0,伿
3816,이,이,this,False,佁,True,佁,384,1809.0,佁
3817,이,이,this,False,佴,True,佴,384,3752.0,connexion
3818,이,이,this,False,侇,True,侇,384,2828.0,侇
3819,이,이,this,False,侕,True,侕,384,4837.0,侕
3820,이,이,this,False,儞,True,儞,384,1763.0,儞
3821,이,이,this,False,刵,True,刵,384,667.0,刵
3822,이,이,this,False,匜,True,匜,384,3321.0,匜
3823,이,이,this,False,咡,True,咡,384,2600.0,咡
3824,이,이,this,False,咦,True,咦,384,1945.0,Why?
3825,이,이,this,False,咿,True,咿,384,1640.0,make a word
3826,이,이,this,False,圯,True,圯,384,4191.0,factory
3827,이,이,this,False,坨,True,坨,384,3328.0,lump
3828,이,이,this,False,夷,True,夷,384,208.0,banish
3829,이,이,this,False,姨,True,姨,384,71.0,aunt
3830,이,이,this,False,媐,True,媐,384,4862.0,媐
3831,이,이,this,False,宧,True,宧,384,3291.0,宧
3832,이,이,this,False,尒,True,尒,384,2571.0,尒
3833,이,이,this,False,尓,True,尓,384,36.0,you
3834,이,이,this,False,尔,True,尔,384,3755.0,you
3835,이,이,this,False,峏,True,峏,384,1991.0,峏
3836,이,이,this,False,峓,True,峓,384,2613.0,峓
3837,이,이,this,False,崺,True,崺,384,2286.0,崺
3838,이,이,this,False,已,True,已,384,854.0,already
3839,이,이,this,False,巸,True,巸,384,3199.0,巸
3840,이,이,this,False,廙,True,廙,384,1585.0,廙
3841,이,이,this,False,异,True,异,384,382.0,different
3842,이,이,this,False,弍,True,弍,384,2979.0,弍
3843,이,이,this,False,弐,True,弐,384,2428.0,弐
3844,이,이,this,False,弛,True,弛,384,1732.0,loosen
3845,이,이,this,False,弬,True,弬,384,53.0,弬
3846,이,이,this,False,彛,True,彛,384,4316.0,彛
3847,이,이,this,False,彜,True,彜,384,1387.0,彜
3848,이,이,this,False,彝,True,彝,384,4394.0,one's wife
3849,이,이,this,False,彞,True,彞,384,901.0,one's wife
3850,이,이,this,False,怡,True,怡,384,979.0,pleasant
3851,이,이,this,False,恞,True,恞,384,2514.0,恞
3852,이,이,this,False,扅,True,扅,384,4094.0,扅
3853,이,이,this,False,攺,True,攺,384,3767.0,攺
3854,이,이,this,False,敡,True,敡,384,3016.0,敡
3855,이,이,this,False,暆,True,暆,384,758.0,暆
3856,이,이,this,False,杝,True,杝,384,4832.0,杝
3857,이,이,this,False,枱,True,枱,384,1722.0,table
3858,이,이,this,False,柂,True,柂,384,1846.0,柂
3859,이,이,this,False,栭,True,栭,384,2857.0,栭
3860,이,이,this,False,栮,True,栮,384,4045.0,栮
3861,이,이,this,False,桋,True,桋,384,4417.0,桋
3862,이,이,this,False,椸,True,椸,384,3450.0,椸
3863,이,이,this,False,樲,True,樲,384,2413.0,樲
3864,이,이,this,False,歋,True,歋,384,796.0,歋
3865,이,이,this,False,殔,True,殔,384,1047.0,殔
3866,이,이,this,False,毦,True,毦,384,4239.0,毦
3867,이,이,this,False,洏,True,洏,384,778.0,洏
3868,이,이,this,False,洟,True,洟,384,3169.0,洟
3869,이,이,this,False,洢,True,洢,384,4349.0,洢
3870,이,이,this,False,洱,True,洱,384,616.0,er
3871,이,이,this,False,潩,True,潩,384,1496.0,潩
3872,이,이,this,False,熪,True,熪,384,4265.0,熪
3873,이,이,this,False,爾,True,爾,384,2392.0,you
3874,이,이,this,False,狏,True,狏,384,1180.0,狏
3875,이,이,this,False,珆,True,珆,384,336.0,珆
3876,이,이,this,False,珥,True,珥,384,247.0,call
3877,이,이,this,False,瓵,True,瓵,384,4723.0,瓵
3878,이,이,this,False,痍,True,痍,384,2874.0,break
3879,이,이,this,False,眙,True,眙,384,4568.0,close
3880,이,이,this,False,眤,True,眤,384,2892.0,眤
3881,이,이,this,False,眱,True,眱,384,664.0,眱
3882,이,이,this,False,眲,True,眲,384,1149.0,眲
3883,이,이,this,False,移,True,移,384,2982.0,remove
3884,이,이,this,False,笖,True,笖,384,4747.0,笖
3885,이,이,this,False,箷,True,箷,384,479.0,箷
3886,이,이,this,False,簃,True,簃,384,1818.0,簃
3887,이,이,this,False,粫,True,粫,384,330.0,粫
3888,이,이,this,False,綛,True,綛,384,2883.0,綛
3889,이,이,this,False,羠,True,羠,384,931.0,羠
3890,이,이,this,False,羡,True,羡,384,1989.0,envy
3891,이,이,this,False,而,True,而,384,997.0,while
3892,이,이,this,False,耳,True,耳,384,916.0,ear
3893,이,이,this,False,聏,True,聏,384,794.0,聏
3894,이,이,this,False,肄,True,肄,384,2190.0,cuff
3895,이,이,this,False,肔,True,肔,384,168.0,肔
3896,이,이,this,False,胣,True,胣,384,3051.0,胣
3897,이,이,this,False,胰,True,胰,384,4299.0,pancreas
3898,이,이,this,False,胹,True,胹,384,2863.0,胹
3899,이,이,this,False,苡,True,苡,384,224.0,long ago
3900,이,이,this,False,苢,True,苢,384,3402.0,苢
3901,이,이,this,False,荋,True,荋,384,4142.0,荋
3902,이,이,this,False,荑,True,荑,384,2006.0,cat
3903,이,이,this,False,薾,True,薾,384,158.0,薾
3904,이,이,this,False,蛜,True,蛜,384,2770.0,蛜
3905,이,이,this,False,蛦,True,蛦,384,4880.0,蛦
3906,이,이,this,False,螔,True,螔,384,1342.0,螔
