,index,hangul_word,english_phrase,does_end_in_hada,hanja_word,hanja_exists,hanja_word_with_hada,num_hangul_words,Unnamed: 0,hanja_english_translation
3811,이,이,this,False,乁,True,乁,384,,
3812,이,이,this,False,二,True,二,384,442.0,two
3813,이,이,this,False,以,True,以,384,4634.0,with
3814,이,이,this,False,伊,True,伊,384,1634.0,Yes.g.
3815,이,이,this,False,伿,True,伿,384,,
3816,이,이,this,False,佁,True,佁,384,,
3817,이,이,this,False,佴,True,佴,384,3752.0,connexion
3818,이,이,this,False,侇,True,侇,384,,
3819,이,이,this,False,侕,True,侕,384,,
3820,이,이,this,False,儞,True,儞,384,,
3821,이,이,this,False,刵,True,刵,384,,
3822,이,이,this,False,匜,True,匜,384,,
3823,이,이,this,False,咡,True,咡,384,,
3824,이,이,this,False,咦,True,咦,384,1945.0,Why?
3825,이,이,this,False,咿,True,咿,384,1640.0,make a word
3826,이,이,this,False,圯,True,圯,384,4191.0,factory
3827,이,이,this,False,坨,True,坨,384,3328.0,lump
3828,이,이,this,False,夷,True,夷,384,208.0,banish
3829,이,이,this,False,姨,True,姨,384,71.0,aunt
3830,이,이,this,False,媐,True,媐,384,,
3831,이,이,this,False,宧,True,宧,384,,
3832,이,이,this,False,尒,True,尒,384,,
3833,이,이,this,False,尓,True,尓,384,36.0,you
3834,이,이,this,False,尔,True,尔,384,3755.0,you
3835,이,이,this,False,峏,True,峏,384,,
3836,이,이,this,False,峓,True,峓,384,,
3837,이,이,this,False,崺,True,崺,384,,
3838,이,이,this,False,已,True,已,384,854.0,already
3839,이,이,this,False,巸,True,巸,384,,
3840,이,이,this,False,廙,True,廙,384,,
3841,이,이,this,False,异,True,异,384,382.0,different
3842,이,이,this,False,弍,True,弍,384,,
3843,이,이,this,False,弐,True,弐,384,,
3844,이,이,this,False,弛,True,弛,384,1732.0,loosen
3845,이,이,this,False,弬,True,弬,384,,
3846,이,이,this,False,彛,True,彛,384,,
3847,이,이,this,False,彜,True,彜,384,,
3848,이,이,this,False,彝,True,彝,384,4394.0,one's wife
3849,이,이,this,False,彞,True,彞,384,901.0,one's wife
3850,이,이,this,False,怡,True,怡,384,979.0,pleasant
3851,이,이,this,False,恞,True,恞,384,,
3852,이,이,this,False,扅,True,扅,384,,
3853,이,이,this,False,攺,True,攺,384,,
3854,이,이,this,False,敡,True,敡,384,,
3855,이,이,this,False,暆,True,暆,384,,
3856,이,이,this,False,杝,True,杝,384,,
3857,이,이,this,False,枱,True,枱,384,1722.0,table
3858,이,이,this,False,柂,True,柂,384,,
3859,이,이,this,False,栭,True,栭,384,,
3860,이,이,this,False,栮,True,栮,384,,
3861,이,이,this,False,桋,True,桋,384,,
3862,이,이,this,False,椸,True,椸,384,,
3863,이,이,this,False,樲,True,樲,384,,
3864,이,이,this,False,歋,True,歋,384,,
3865,이,이,this,False,殔,True,殔,384,,
3866,이,이,this,False,毦,True,毦,384,,
3867,이,이,this,False,洏,True,洏,384,,
3868,이,이,this,False,洟,True,洟,384,,
3869,이,이,this,False,洢,True,洢,384,,
3870,이,이,this,False,洱,True,洱,384,616.0,er
3871,이,이,this,False,潩,True,潩,384,,
3872,이,이,this,False,熪,True,熪,384,,
3873,이,이,this,False,爾,True,爾,384,2392.0,you
3874,이,이,this,False,狏,True,狏,384,,
3875,이,이,this,False,珆,True,珆,384,,
3876,이,이,this,False,珥,True,珥,384,247.0,call
3877,이,이,this,False,瓵,True,瓵,384,,
3878,이,이,this,False,痍,True,痍,384,2874.0,break
3879,이,이,this,False,眙,True,眙,384,4568.0,close
3880,이,이,this,False,眤,True,眤,384,,
3881,이,이,this,False,眱,True,眱,384,,
3882,이,이,this,False,眲,True,眲,384,,
3883,이,이,this,False,移,True,移,384,2982.0,remove
3884,이,이,this,False,笖,True,笖,384,,
3885,이,이,this,False,箷,True,箷,384,,
3886,이,이,this,False,簃,True,簃,384,,
3887,이,이,this,False,粫,True,粫,384,,
3888,이,이,this,False,綛,True,綛,384,,
3889,이,이,this,False,羠,True,羠,384,,
3890,이,이,this,False,羡,True,羡,384,1989.0,envy
3891,이,이,this,False,而,True,而,384,997.0,while
3892,이,이,this,False,耳,True,耳,384,916.0,ear
3893,이,이,this,False,聏,True,聏,384,,
3894,이,이,this,False,肄,True,肄,384,2190.0,cuff
3895,이,이,this,False,肔,True,肔,384,,
3896,이,이,this,False,胣,True,胣,384,,
3897,이,이,this,False,胰,True,胰,384,4299.0,pancreas
3898,이,이,this,False,胹,True,胹,384,,
3899,이,이,this,False,苡,True,苡,384,224.0,long ago
3900,이,이,this,False,苢,True,苢,384,,
3901,이,이,this,False,荋,True,荋,384,,
3902,이,이,this,False,荑,True,荑,384,2006.0,cat
3903,이,이,this,False,薾,True,薾,384,,
3904,이,이,this,False,蛜,True,蛜,384,,
3905,이,이,this,False,蛦,True,蛦,384,,
3906,이,이,this,False,螔,True,螔,384,,
3907,이,이,this,False,衈,True,衈,384,,
3908,이,이,this,False,衪,True,衪,384,4105.0,he
3909,이,이,this,False,袘,True,袘,384,4687.0,bank
3910,이,이,this,False,袲,True,袲,384,,
3911,이,이,this,False,袻,True,袻,384,,
3912,이,이,this,False,訑,True,訑,384,,
3913,이,이,this,False,詑,True,詑,384,,
3914,이,이,this,False,詒,True,詒,384,4536.0,first
3915,이,이,this,False,誀,True,誀,384,,
3916,이,이,this,False,謻,True,謻,384,,
3917,이,이,this,False,诒,True,诒,384,2854.0,first
3918,이,이,this,False,貤,True,貤,384,,
3919,이,이,this,False,貮,True,貮,384,,
3920,이,이,this,False,貳,True,貳,384,3760.0,two
3921,이,이,this,False,貽,True,貽,384,1959.0,deliver
3922,이,이,this,False,贰,True,贰,384,3099.0,two
3923,이,이,this,False,贻,True,贻,384,2378.0,deliver
3924,이,이,this,False,趰,True,趰,384,,
3925,이,이,this,False,跠,True,跠,384,,
3926,이,이,this,False,輀,True,輀,384,,
3927,이,이,this,False,轜,True,轜,384,,
3928,이,이,this,False,迆,True,迆,384,673.0,fresh water
3929,이,이,this,False,迤,True,迤,384,4579.0,extend
3930,이,이,this,False,迩,True,迩,384,3247.0,near
3931,이,이,this,False,迱,True,迱,384,,
3932,이,이,this,False,迻,True,迻,384,,
3933,이,이,this,False,邇,True,邇,384,483.0,near
3934,이,이,this,False,酏,True,酏,384,4621.0,chap
3935,이,이,this,False,鉯,True,鉯,384,,
3936,이,이,this,False,鉺,True,鉺,384,4011.0,erbium; erbium
3937,이,이,this,False,铒,True,铒,384,964.0,erbium; erbium
3938,이,이,this,False,陑,True,陑,384,,
3939,이,이,this,False,隭,True,隭,384,,
3940,이,이,this,False,隶,True,隶,384,302.0,subordinate
3941,이,이,this,False,頉,True,頉,384,,
3942,이,이,this,False,頤,True,頤,384,4722.0,eat
3943,이,이,this,False,頥,True,頥,384,,
3944,이,이,this,False,顊,True,顊,384,,
3945,이,이,this,False,颐,True,颐,384,3001.0,eat
3946,이,이,this,False,飴,True,飴,384,740.0,enjoy
3947,이,이,this,False,餌,True,餌,384,1562.0,bait
3948,이,이,this,False,饴,True,饴,384,376.0,enjoy
3949,이,이,this,False,饵,True,饵,384,2035.0,bait
3950,이,이,this,False,駬,True,駬,384,,
3951,이,이,this,False,髵,True,髵,384,,
3952,이,이,this,False,鮞,True,鮞,384,4180.0,oolitic
3953,이,이,this,False,鲕,True,鲕,384,3021.0,oolitic
3954,이,이,this,False,鴯,True,鴯,384,209.0,emulation
3955,이,이,this,False,鶍,True,鶍,384,,
3956,이,이,this,False,鸸,True,鸸,384,3456.0,emulation
3957,이,이,this,False,黟,True,黟,384,,
3958,이,이,this,False,㐌,True,㐌,384,,
3959,이,이,this,False,㑆,True,㑆,384,,
3960,이,이,this,False,㑥,True,㑥,384,,
3961,이,이,this,False,㒃,True,㒃,384,,
3962,이,이,this,False,㕥,True,㕥,384,,
3963,이,이,this,False,㖇,True,㖇,384,,
3964,이,이,this,False,㛅,True,㛅,384,,
3965,이,이,this,False,㛋,True,㛋,384,,
3966,이,이,this,False,㜇,True,㜇,384,,
3967,이,이,this,False,㠯,True,㠯,384,,
3968,이,이,this,False,㢮,True,㢮,384,,
3969,이,이,this,False,㢽,True,㢽,384,,
3970,이,이,this,False,㣇,True,㣇,384,,
3971,이,이,this,False,㥴,True,㥴,384,,
3972,이,이,this,False,㦾,True,㦾,384,,
3973,이,이,this,False,㧠,True,㧠,384,,
